我	wo
打勝	da sheng
手縫	shou feng
憑單	ping dan
慌得	huang de
恩准	en zhun
急件	ji jian
後秦	hou qin
彳亍	chi chu
張本	zhang ben
底肥	di fei
帳子	zhang zi
屯子	tun zi
寒噤	han jin
失道	shi dao
大指	da zhi
外漏	wai lou
報帳	bao zhang
坐廁	zuo ce
嘴甜	zui tian
嘗新	chang xin
周書	zhou shu
名位	ming wei
吊球	diao qiu
卿相	qing xiang
卻倒	que dao
十進	shi jin
勾連	gou lian
削平	xue ping
分洪	fen hong
八宿	ba su
催逼	cui bi
偵訊	zhen xun
仙藥	xian yao
乳脂	ru zhi
上鞋	shang xie
蝲	la
蛸	shao
荽	sui
盱	xu
澥	xie
攖	ying
弚	tui
夐	xiong
囷	qun
嗻	zhe
萬有引力定律	wan you yin li ding lv
睜隻眼閉隻眼	zheng zhi yan bi zhi yan
消息靈通人士	xiao xi ling tong ren shi
北卡羅來納州	bei ka luo lai na zhou
井水不犯河水	jing shui bu fan he shui
逆轉錄病毒	ni zhuan lu bing du
貝爾實驗室	bei er shi yan shi
海洋性氣候	hai yang xing qi hou
天涯若比鄰	tian ya ruo bi lin
骨牌效應	gu pai xiao ying
驕奢淫逸	jiao she yin yi
順水人情	shun shui ren qing
關稅壁壘	guan shui bi lei
量力而爲	liang li er wei
逼良爲娼	bi liang wei chang
賞罰分明	shang fa fen ming
警備司令	jing bei si ling
誨人不倦	hui ren bu juan
葛萊美獎	ge lai mei jiang
萊溫斯基	lai wen si ji
菲律賓人	fei lv bin ren
色膽包天	se dan bao tian
脫離險境	tuo li xian jing
生吞活剝	sheng tun huo bo
狗屁不通	gou pi bu tong
片言隻語	pian yan zhi yu
無可爭辯	wu ke zheng bian
海峽時報	hai xia shi bao
活力充沛	huo li chong pei
橫行無忌	heng xing wu ji
棄暗投明	qi an tou ming
有條有理	you tiao you li
教會學校	jiao hui xue xiao
故伎重演	gu ji zhong yan
政黨政治	zheng dang zheng zhi
攻無不克	gong wu bu ke
摩天大廈	mo tian da sha
打家劫舍	da jia jie she
忽上忽下	hu shang hu xia
心理診所	xin li zhen suo
從中作梗	cong zhong zuo geng
往復運動	wang fu yun dong
層巒疊嶂	ceng luan die zhang
尊姓大名	zun xing da ming
寥寥可數	liao liao ke shu
夾道歡迎	jia dao huan ying
太平廣記	tai ping guang ji
國破家亡	guo po jia wang
南安普敦	nan an pu dun
八角茴香	ba jiao hui xiang
傾城傾國	qing cheng qing guo
傻瓜相機	sha gua xiang ji
倒打一耙	dao da yi ba
二級士官	er ji shi guan
事到臨頭	shi dao lin tou
中南半島	zhong nan ban dao
並肩而行	bing jian er xing
世界大同	shi jie da tong
不白之冤	bu bai zhi yuan
一語雙關	yi yu shuang guan
麥克白	mai ke bai
骨碌碌	gu lu lu
頑固派	wan gu pai
鞏留縣	gong liu xian
革命化	ge ming hua
雞澤縣	ji ze xian
阿斯旺	a si wang
開江縣	kai jiang xian
重力場	zhong li chang
豬尾巴	zhu wei ba
護法神	hu fa shen
解像度	jie xiang du
補給線	bu gei xian
蔡國強	cai guo qiang
菲爾特	fei er te
色拉寺	se la si
臨江市	lin jiang shi
肥鄉縣	fei xiang xian
維新派	wei xin pai
索多瑪	suo duo ma
石敢當	shi gan dang
理療科	li liao ke
片假名	pian jia ming
熱呼呼	re hu hu
烏馬河	wu ma he
混頻器	hun pin qi
氰化鉀	qing hua jia
歌仔戲	ge zai xi
曼城隊	man cheng dui
昭蘇縣	zhao su xian
抗寒性	kang han xing
慶城縣	qing cheng xian
彈簧刀	dan huang dao
巴楚縣	ba chu xian
嵊泗縣	sheng si xian
小紅莓	xiao hong mei
寬甸縣	kuan dian xian
寧陝縣	ning shan xian
女管家	nv guan jia
咖喱粉	ka li fen
半公開	ban gong kai
勃艮第	bo gen di
六六六	liu liu liu
傑里米	jie li mi
仙女座	xian nv zuo
齊奏	qi zou
魚漂	yu piao
駕雲	jia yun
首辦	shou ban
饗宴	xiang yan
養廉	yang lian
風窗	feng chuang
領章	ling zhang
項英	xiang ying
露怯	lu qie
雌蕊	ci rui
鍘刀	zha dao
野合	ye he
遠天	yuan tian
達因	da yin
逼債	bi zhai
軌距	gui ju
論定	lun ding
西戎	xi rong
褡褳	da lian
蘸醬	zhan jiang
華族	hua zu
茶房	cha fang
自喻	zi yu
臆造	yi zao
統購	tong gou
累心	lei xin
紓困	shu kun
竹溪	zhu xi
立像	li xiang
穎慧	ying hui
禪杖	chan zhang
禁絕	jin jue
祈請	qi qing
相商	xiang shang
發糕	fa gao
癰疽	yong ju
癡想	chi xiang
猛醒	meng xing
無干	wu gan
火輪	huo lun
澹泊	dan po
深痛	shen tong
洪熙	hong xi
泰西	tai xi
毋寧	wu ning
款子	kuan zi
棉廠	mian chang
朱儁	zhu jun
更樓	geng lou
更動	geng dong
春假	chun jia
新正	xin zheng
教門	jiao men
摯誠	zhi cheng
搭棚	da peng
掌骨	zhang gu
授命	shou ming
悟淨	wu jing
怒潮	nu chao
徑路	jing lu
形勝	xing sheng
彈幕	dan mu
彈坑	dan keng
廟號	miao hao
幸甚	xing shen
帝業	di ye
工蜂	gong feng
居人	ju ren
尊奉	zun feng
宋書	song shu
孳息	zi xi
如草	ru cao
天璇	tian xuan
外轉	wai zhuan
塞責	sai ze
坐化	zuo hua
困厄	kun e
和棋	he qi
叨擾	dao rao
另案	ling an
加總	jia zong
則個	ze ge
切向	qie xiang
出洋	chu yang
凡例	fan li
全域	quan yu
充作	chong zuo
假牌	jia pai
俳句	pai ju
俯看	fu kan
亞綱	ya gang
五胡	wu hu
五股	wu gu
丑牛	chou niu
鐖	ji
趼	jian
覡	xi
袈	jia
蝂	ban
蜞	qi
脕	wan
溷	hun
桎	zhi
扃	jiong
嘽	chan
面朝黃土背朝天	mian chao huang tu bei chao tian
竹籃打水一場空	zhu lan da shui yi chang kong
放之四海而皆準	fang zhi si hai er jie zhun
中共中央宣傳部	zhong gong zhong yang xuan chuan bu
不列顛哥倫比亞	bu lie dian ge lun bi ya
雞蛋裏挑骨頭	ji dan li tiao gu tou
英雄所見略同	ying xiong suo jian lue tong
嗜酸性粒細胞	shi suan xing li xi bao
觀自在菩薩	guan zi zai pu sa
義和團運動	yi he tuan yun dong
羣起而攻之	qun qi er gong zhi
網絡打印機	wang luo da yin ji
無線電視臺	wu xian dian shi tai
汽輪發電機	qi lun fa dian ji
官場現形記	guan chang xian xing ji
魚香茄子	yu xiang jia zi
驚恐萬狀	jing kong wan zhuang
非此即彼	fei ci ji bi
長城飯店	zhang cheng fan dian
金雞獨立	jin ji du li
邏輯錯誤	luo ji cuo wu
輸入系統	shu ru xi tong
起承轉合	qi cheng zhuan he
財團法人	cai tuan fa ren
蘭亭集序	lan ting ji xu
葉落歸根	ye luo gui gen
自求多福	zi qiu duo fu
聲色俱厲	sheng se ju li
羊入虎口	yang ru hu kou
緊密相聯	jin mi xiang lian
第比利斯	di bi li si
笑破肚皮	xiao po du pi
童叟無欺	tong sou wu qi
碩大無比	shuo da wu bi
知人善任	zhi ren shan ren
生於憂患	sheng yu you huan
狡兔三窟	jiao tu san ku
牙科醫生	ya ke yi sheng
無出其右	wu chu qi you
瀟灑自如	xiao sa zi ru
滿盤皆輸	man pan jie shu
活血止痛	huo xue zhi tong
汗牛充棟	han niu chong dong
求賢若渴	qiu xian ruo ke
殺人案件	sha ren an jian
死而後已	si er hou yi
枯木逢春	ku mu feng chun
晝伏夜出	zhou fu ye chu
明日黃花	ming ri huang hua
敲敲打打	qiao qiao da da
故作姿態	gu zuo zi tai
振振有辭	zhen zhen you ci
忍飢挨餓	ren ji ai e
德智體美	de zhi ti mei
形跡可疑	xing ji ke yi
強加於人	qiang jia yu ren
完好無缺	wan hao wu que
孔孟之道	kong meng zhi dao
大武口區	da wu kou qu
大展鴻圖	da zhan hong tu
夢幻泡影	meng huan pao ying
夜郎自大	ye lang zi da
域名搶注	yu ming qiang zhu
坐而論道	zuo er lun dao
地球磁場	di qiu ci chang
取得一致	qu de yi zhi
去僞存真	qu wei cun zhen
勃蘭登堡	bo lan deng bao
人浮於事	ren fu yu shi
事隔多年	shi ge duo nian
一衣帶水	yi yi dai shui
一切就緒	yi qie jiu xu
馬來人	ma lai ren
韋應物	wei ying wu
雪花膏	xue hua gao
雪白色	xue bai se
開藥方	kai yao fang
開花期	kai hua qi
鋁箔紙	lv bo zhi
連南縣	lian nan xian
逃亡者	tao wang zhe
軍事學	jun shi xue
賀年卡	he nian ka
調查團	diao cha tuan
試飛員	shi fei yuan
西德尼	xi de ni
襄城區	xiang cheng qu
蒼蠅拍	cang ying pai
色情狂	se qing kuang
腓尼基	fei ni ji
聲明書	sheng ming shu
耳旁風	er pang feng
纖維狀	xian wei zhuang
繁殖力	fan zhi li
總開關	zong kai guan
結紮術	jie za shu
策源地	ce yuan di
竺可楨	zhu ke zhen
程序庫	cheng xu ku
目錄學	mu lu xue
玉米花	yu mi hua
炒冷飯	chao leng fan
渭源縣	wei yuan xian
海空軍	hai kong jun
洛川縣	luo chuan xian
江永縣	jiang yong xian
永和縣	yong he xian
槍炮聲	qiang pao sheng
木質部	mu zhi bu
斯坦因	si tan yin
撒克遜	sa ke xun
抽象派	chou xiang pai
托爾金	tuo er jin
打擂臺	da lei tai
展開圖	zhan kai tu
居留證	ju liu zheng
少根筋	shao gen jin
對流層	dui liu ceng
尋烏縣	xun wu xian
富貴病	fu gui bing
安格爾	an ge er
安慰獎	an wei jiang
安息香	an xi xiang
太魯閣	tai lu ge
嘉蔭縣	jia yin xian
和順縣	he shun xian
出點子	chu dian zi
偷窺狂	tou kui kuang
依安縣	yi an xian
作曲者	zuo qu zhe
丁二醇	ding er chun
鹹澀	xian se
鴨絨	ya rong
養兵	yang bing
食槽	shi cao
額滿	e man
頭臉	tou lian
順次	shun ci
難友	nan you
集納	ji na
隱語	yin yu
陽炎	yang yan
除冰	chu bing
長徑	zhang jing
鋪底	pu di
銀匠	yin jiang
重農	zhong nong
遍身	bian shen
進級	jin ji
連合	lian he
辭源	ci yuan
輪替	lun ti
躬行	gong xing
賊窩	zei wo
費曼	fei man
豪富	hao fu
譯稿	yi gao
裱糊	biao hu
蕭乾	xiao qian
蔥翠	cong cui
蓮霧	lian wu
肉店	rou dian
綿亙	mian gen
紅腸	hong chang
答理	da li
竹器	zhu qi
私憤	si fen
盲動	mang dong
白磷	bai lin
用飯	yong fan
瑞氣	rui qi
烤房	kao fang
烏桕	wu jiu
濾出	lv chu
濁流	zhuo liu
溶體	rong ti
海蝕	hai shi
流佈	liu bu
法幣	fa bi
毋忘	wu wang
正寧	zheng ning
機運	ji yun
槍膛	qiang tang
榛仁	zhen ren
核仁	he ren
校官	xiao guan
有碼	you ma
會士	hui shi
書聖	shu sheng
斜槓	xie gang
整訓	zheng xun
撐杆	cheng gan
摹本	mo ben
掀動	xian dong
拖船	tuo chuan
恬美	tian mei
忌恨	ji hen
弛緩	chi huan
幼林	you lin
平撫	ping fu
巨鳥	ju niao
工價	gong jia
套曲	tao qu
報童	bao tong
堅壁	jian bi
圍嘴	wei zui
嘉黎	jia li
喪服	sang fu
唱曲	chang qu
哀憐	ai lian
吐豔	tu yan
口授	kou shou
反例	fan li
包封	bao feng
勇力	yong li
加賽	jia sai
劍魚	jian yu
劃價	hua jia
刺癢	ci yang
冶鐵	ye tie
冬風	dong feng
內流	nei liu
儼如	yan ru
偷出	tou chu
鵪	an
邶	bei
蝰	kui
蒎	pai
臯	gao
耜	si
繯	huan
窞	dan
溦	wei
斿	you
徭	yao
嵫	zi
亠	tou
世界知識產權組織	shi jie zhi shi chan quan zu zhi
此地無銀三百兩	ci di wu yin san bai liang
友誼天長地久	you yi tian zhang di jiu
革蘭氏陰性	ge lan shi yin xing
盧溝橋事變	lu gou qiao shi bian
無紙化辦公	wu zhi hua ban gong
新西伯利亞	xin xi bo li ya
大無畏精神	da wu wei jing shen
印第安納州	yin di an na zhou
鳩佔鵲巢	jiu zhan que chao
顛倒是非	dian dao shi fei
預備知識	yu bei zhi shi
雞鳴狗盜	ji ming gou dao
阿斯塔納	a si ta na
開山鼻祖	kai shan bi zu
長平之戰	zhang ping zhi zhan
鉤心鬥角	gou xin dou jiao
進退自如	jin tui zi ru
軟弱無能	ruan ruo wu neng
身兼數職	shen jian shu zhi
計劃目標	ji hua mu biao
血清蛋白	xue qing dan bai
萬丈光芒	wan zhang guang mang
花花腸子	hua hua chang zi
股東名冊	gu dong ming ce
箇中原因	ge zhong yuan yin
等閒視之	deng xian shi zhi
競爭產品	jing zheng chan pin
站得住腳	zhan de zhu jiao
立法委員	li fa wei yuan
突圍而出	tu wei er chu
稱霸世界	cheng ba shi jie
真槍實彈	zhen qiang shi dan
疾馳而過	ji chi er guo
畫餅充飢	hua bing chong ji
由表及裏	you biao ji li
玄之又玄	xuan zhi you xuan
死到臨頭	si dao lin tou
橢圓曲線	tuo yuan qu xian
構造運動	gou zao yun dong
朝不保夕	chao bu bao xi
望女成鳳	wang nv cheng feng
有攻擊性	you gong ji xing
明眸皓齒	ming mou hao chi
收發短信	shou fa duan xin
提綱挈領	ti gang qie ling
拉丁字母	la ding zi mu
抗組胺藥	kang zu an yao
技術援助	ji shu yuan zhu
手寫識別	shou xie shi bie
慷慨陳詞	kang kai chen ci
恢復常態	hui fu chang tai
心腹大患	xin fu da huan
心口不一	xin kou bu yi
微分幾何	wei fen ji he
小蘿蔔頭	xiao luo bo tou
妖言惑衆	yao yan huo zhong
太陽能板	tai yang neng ban
天地良心	tian di liang xin
多重人格	duo zhong ren ge
喪權辱國	sang quan ru guo
啦啦隊長	la la dui zhang
和平談判	he ping tan pan
名不符實	ming bu fu shi
印度支那	yin du zhi na
北京猿人	bei jing yuan ren
動態更新	dong tai geng xin
公共道德	gong gong dao de
內分泌腺	nei fen mi xian
僧多粥少	seng duo zhou shao
人文薈萃	ren wen hui cui
人心不古	ren xin bu gu
中央匯金	zhong yang hui jin
不識好歹	bu shi hao dai
不乏其人	bu fa qi ren
一語成讖	yi yu cheng chen
黑頸鶴	hei jing he
養樂多	yang le duo
頭朝下	tou chao xia
離岸價	li an jia
隔夜茶	ge ye cha
阿薩姆	a sa mu
防波堤	fang bo di
關節囊	guan jie nang
酢漿草	cu jiang cao
辛烷值	xin wan zhi
踩高蹺	cai gao qiao
被除數	bei chu shu
衝浪板	chong lang ban
蘇氨酸	su an suan
落地扇	luo di shan
萬戶侯	wan hu hou
而不需	er bu xu
緩衝期	huan chong qi
紹興酒	shao xing jiu
紅寺堡	hong si bao
約克郡	yue ke jun
笛卡兒	di ka er
窩闊臺	wo kuo tai
空着手	kong zhe shou
班克斯	ban ke si
火成岩	huo cheng yan
氣動式	qi dong shi
檢疫站	jian yi zhan
樟腦丸	zhang nao wan
東京灣	dong jing wan
朝天區	chao tian qu
昌都縣	chang dou xian
支撐架	zhi cheng jia
擤鼻涕	xing bi ti
抒情歌	shu qing ge
扁平足	bian ping zu
得獎者	de jiang zhe
平裝本	ping zhuang ben
巧家縣	qiao jia xian
對對子	dui dui zi
定冠詞	ding guan ci
女皇帝	nv huang di
奠基石	dian ji shi
城運會	cheng yun hui
在深處	zai shen chu
土地公	tu di gong
圖形卡	tu xing ka
喘噓噓	chuan xu xu
商紂王	shang zhou wang
咬耳朵	yao er duo
呼倫湖	hu lun hu
同甘苦	tong gan ku
司馬炎	si ma yan
司湯達	si tang da
及格線	ji ge xian
南城縣	nan cheng xian
化妝室	hua zhuang shi
動手腳	dong shou jiao
利息率	li xi lv
冰風暴	bing feng bao
公倍數	gong bei shu
傳導性	chuan dao xing
修道人	xiu dao ren
伏羲氏	fu xi shi
交際舞	jiao ji wu
鷯哥	liao ge
馬鬃	ma zong
馬棚	ma peng
餓虎	e hu
鞭毛	bian mao
革吉	ge ji
面生	mian sheng
非零	fei ling
靈牌	ling pai
雉雞	zhi ji
陰晦	yin hui
鋼纜	gang lan
銀亮	yin liang
釘耙	ding ba
金史	jin shi
重器	zhong qi
選字	xuan zi
遠途	yuan tu
達仁	da ren
轄地	xia di
躍身	yue shen
踏月	ta yue
跨躍	kua yue
賒賬	she zhang
貶斥	bian chi
諭旨	yu zhi
茶缸	cha gang
芬香	fen xiang
良伴	liang ban
舊俗	jiu su
脫稿	tuo gao
胞妹	bao mei
肉脯	rou pu
肉票	rou piao
聖事	sheng shi
羊年	yang nian
縫好	feng hao
線繩	xian sheng
經紗	jing sha
絕景	jue jing
絕域	jue yu
紀昀	ji yun
節子	jie zi
盟員	meng yuan
發紺	fa gan
獨體	du ti
犯戒	fan jie
爭購	zheng gou
溜圓	liu yuan
海碗	hai wan
海砂	hai sha
河渠	he qu
汶萊	wen lai
正切	zheng qie
檢控	jian kong
槍術	qiang shu
棋社	qi she
林邊	lin bian
曾參	ceng can
書檯	shu tai
暗袋	an dai
暖房	nuan fang
搶婚	qiang hun
持守	chi shou
括弧	kuo hu
拖堂	tuo tang
拋撒	pao sa
抓癢	zhua yang
打鉤	da gou
房錢	fang qian
懿德	yi de
懼內	ju nei
慣偷	guan tou
怪樣	guai yang
弄混	nong hun
幽微	you wei
山徑	shan jing
寬暢	kuan chang
寬待	kuan dai
安人	an ren
孔門	kong men
子鼠	zi shu
姑夫	gu fu
夷狄	yi di
失準	shi zhun
失察	shi cha
壓驚	ya jing
場院	chang yuan
回還	hui hai
召陵	zhao ling
叩謝	kou xie
句讀	ju du
博識	bo shi
劫道	jie dao
加添	jia tian
剪草	jian cao
刑案	xing an
冬菜	dong cai
側部	ce bu
假聲	jia sheng
借光	jie guang
京族	jing zu
黥	qing
鰣	shi
靉	ai
贔	bi
訐	jie
觚	gu
茛	gen
胴	dong
紒	ji
粅	wu
犖	luo
氅	chang
旂	qi
壢	li
勹	bao
踏破鐵鞋無覓處	ta po tie xie wu mi chu
阿拉伯半島	a la bo ban dao
蒂森克虜伯	di sen ke lu bo
粒粒皆辛苦	li li jie xin ku
水力發電站	shui li fa dian zhan
放射性污染	fang she xing wu ran
捷克共和國	jie ke gong he guo
離鄉背井	li xiang bei jing
開除學籍	kai chu xue ji
證券經營	zheng quan jing ying
諱疾忌醫	hui ji ji yi
肛門直腸	gang men zhi chang
紅色高棉	hong se gao mian
窮山惡水	qiong shan e shui
神經膠質	shen jing jiao zhi
破敗不堪	po bai bu kan
眼明手快	yan ming shou kuai
百萬雄師	bai wan xiong shi
病魔纏身	bing mo chan shen
瑕不掩瑜	xia bu yan yu
狗血噴頭	gou xue pen tou
熟門熟路	shu men shu lu
此起彼落	ci qi bi luo
期期艾艾	qi qi ai ai
既往不咎	ji wang bu jiu
文不對題	wen bu dui ti
提起精神	ti qi jing shen
成田機場	cheng tian ji chang
心胸狹隘	xin xiong xia ai
平面幾何	ping mian ji he
天網恢恢	tian wang hui hui
多國部隊	duo guo bu dui
多功能表	duo gong neng biao
外界影響	wai jie ying xiang
坦誠相見	tan cheng xiang jian
嚴絲合縫	yan si he feng
名門閨秀	ming men gui xiu
名聞遐邇	ming wen xia er
兵戎相見	bing rong xiang jian
兩面三刀	liang mian san dao
傷及無辜	shang ji wu gu
俄狄浦斯	e di pu si
作風正派	zuo feng zheng pai
伊藤博文	yi teng bo wen
以卵擊石	yi luan ji shi
仗義執言	zhang yi zhi yan
人神共憤	ren shen gong fen
不破不立	bu po bu li
三岔路口	san cha lu kou
黑體字	hei ti zi
飛將軍	fei jiang jun
顧愷之	gu kai zhi
類人猿	lei ren yuan
靖安縣	jing an xian
靈谷寺	ling gu si
電蚊拍	dian wen pai
起跑點	qi pao dian
質譜儀	zhi pu yi
資陽區	zi yang qu
詞彙學	ci hui xue
記錄員	ji lu yuan
西疇縣	xi chou xian
行李車	xing li che
蘇西洛	su xi luo
蘇打粉	su da fen
色彩學	se cai xue
臘八節	la ba jie
腥臭味	xing chou wei
脫脂棉	tuo zhi mian
肺靜脈	fei jing mai
紐卡素	niu ka su
福壽螺	fu shou luo
硫胺素	liu an su
睾丸酮	gao wan tong
甘南州	gan nan zhou
熱得快	re de kuai
火山島	huo shan dao
滲出物	shen chu wu
深黃色	shen huang se
洛江區	luo jiang qu
水銀燈	shui yin deng
止血藥	zhi xue yao
有意志	you yi zhi
月光曲	yue guang qu
教職員	jiao zhi yuan
攝影術	she ying shu
打手勢	da shou shi
打主意	da zhu yi
懶骨頭	lan gu tou
慶生會	qing sheng hui
山水詩	shan shui shi
富裕縣	fu yu xian
多妻制	duo qi zhi
固定點	gu ding dian
喘不過	chuan bu guo
合氣道	he qi dao
右前衛	you qian wei
可可豆	ke ke dou
卡西尼	ka xi ni
冷卻劑	leng que ji
內質網	nei zhi wang
儲存量	chu cun liang
傻大個	sha da ge
傑克森	jie ke sen
候機室	hou ji shi
依蘭縣	yi lan xian
供應室	gong ying shi
互助縣	hu zhu xian
下議院	xia yi yuan
鮮麗	xian li
驗尿	yan niao
顴弓	quan gong
離座	li zuo
隨員	sui yuan
陽壽	yang shou
鈍角	dun jiao
醃肉	yan rou
鄰區	lin qu
郡治	jun zhi
遺命	yi ming
遠客	yuan ke
退賠	tui pei
踝骨	huai gu
貧弱	pin ruo
變音	bian yin
謝頂	xie ding
講桌	jiang zhuo
討還	tao hai
西曆	xi li
號曰	hao yue
舊怨	jiu yuan
胸脅	xiong xie
肽鏈	tai lian
考訂	kao ding
給事	gei shi
索縣	suo xian
紙鈔	zhi chao
秧田	yang tian
祕本	mi ben
礫岩	li yan
盤底	pan di
盜獵	dao lie
病邪	bing xie
當掉	dang diao
爆音	bao yin
照護	zhao hu
無恆	wu heng
無已	wu yi
無何	wu he
灰漿	hui jiang
激波	ji bo
漆工	qi gong
溶蝕	rong shi
海日	hai ri
海損	hai sun
洛扎	luo zha
油鋸	you ju
汗臭	han chou
殘毒	can du
武舉	wu ju
歐氏	ou shi
款冬	kuan dong
榮市	rong shi
板胡	ban hu
曾鞏	ceng gong
曹錕	cao kun
明擺	ming bai
文飾	wen shi
敝人	bi ren
敗火	bai huo
故址	gu zhi
擺闊	bai kuo
推延	tui yan
捻軍	nian jun
拉巴	la ba
戒條	jie tiao
惡口	e kou
悽惶	qi huang
急彎	ji wan
微明	wei ming
復舊	fu jiu
御書	yu shu
崩落	beng luo
層雲	ceng yun
字據	zi ju
子產	zi chan
大社	da she
塊壘	kuai lei
垂老	chui lao
圭臬	gui nie
可巧	ke qiao
反接	fan jie
印綬	yin shou
卡司	ka si
北燕	bei yan
創製	chuang zhi
剔出	ti chu
分利	fen li
出包	chu bao
凹洞	ao dong
冤鬼	yuan gui
內賓	nei bin
光磁	guang ci
儺戲	nuo xi
傷別	shang bie
假造	jia zao
二黃	er huang
鱤	gan
鰈	die
鏝	man
遴	lin
蹂	rou
蘀	tuo
聒	gua
纊	kuang
籪	duan
巋	kui
嵂	lv
壚	lu
叕	zhuo
海岸警衛隊	hai an jing wei dui
新罕布什爾	xin han bu shen er
吉木薩爾縣	ji mu sa er xian
南卡羅來納	nan ka luo lai na
不切合實際	bu qie he shi ji
驗明正身	yan ming zheng shen
雷州半島	lei zhou ban dao
雞同鴨講	ji tong ya jiang
隔牆有耳	ge qiang you er
阿肯色州	a ken se zhou
軍事威脅	jun shi wei xie
踽踽獨行	ju ju du xing
親自掛帥	qin zi gua shuai
複數形式	fu shu xing shi
裊裊炊煙	niao niao chui yan
血債血償	xue zhai xue chang
蘇打餅乾	su da bing qian
落葉喬木	luo ye qiao mu
繡花枕頭	xiu hua zhen tou
穩定物價	wen ding wu jia
稍遜一籌	shao xun yi chou
碧海青天	bi hai qing tian
目不識丁	mu bu shi ding
甲級戰犯	jia ji zhan fan
特技演員	te ji yan yuan
爭名奪利	zheng ming duo li
滴水穿石	di shui chuan shi
滄海橫流	cang hai heng liu
次級貸款	ci ji dai kuan
東巴文化	dong ba wen hua
末梢神經	mo shao shen jing
斯賓諾莎	si bin nuo sha
故技重施	gu ji zhong shi
故作深沉	gu zuo shen chen
抱成一團	bao cheng yi tuan
手足之情	shou zu zhi qing
戰術導彈	zhan shu dao dan
怪石嶙峋	guai shi lin xun
彈無虛發	dan wu xu fa
專業組織	zhuan ye zu zhi
太陽活動	tai yang huo dong
執政方式	zhi zheng fang shi
城子河區	cheng zi he qu
圓錐曲線	yuan zhui qu xian
原生動物	yuan sheng dong wu
南通地區	nan tong di qu
匹夫有責	pi fu you ze
出人意外	chu ren yi wai
全民公決	quan min gong jue
伯仲之間	bo zhong zhi jian
以太網絡	yi tai wang luo
令行禁止	ling xing jin zhi
二道江區	er dao jiang qu
二硫化碳	er liu hua tan
不祥之兆	bu xiang zhi zhao
不加掩飾	bu jia yan shi
鹹水湖	xian shui hu
鸚鵡螺	ying wu luo
鳳尾魚	feng wei yu
魚雷艇	yu lei ting
非直接	fei zhi jie
鄂城區	e cheng qu
腺嘌呤	xian piao ling
脫色劑	tuo se ji
胖頭魚	pang tou yu
肅州區	su zhou qu
聚合體	ju he ti
聖喬治	sheng qiao zhi
耍花招	shua hua zhao
義馬市	yi ma shi
白蘭花	bai lan hua
玉米餅	yu mi bing
牛奶糖	niu nai tang
爆冷門	bao leng men
演講家	yan jiang jia
淇濱區	qi bin qu
檸檬皮	ning meng pi
樂安縣	le an xian
構詞法	gou ci fa
榆社縣	yu she xian
林芝縣	lin zhi xian
曼荼羅	man tu luo
書信集	shu xin ji
拜天地	bai tian di
愛晚亭	ai wan ting
急救法	ji jiu fa
底比斯	di bi si
平流層	ping liu ceng
左前衛	zuo qian wei
姬松茸	ji song rong
塔塔爾	ta ta er
噴氣機	pen qi ji
唾液腺	tuo ye xian
原被告	yuan bei gao
原產國	yuan chan guo
南朝宋	nan chao song
化學能	hua xue neng
包身工	bao shen gong
勤務兵	qin wu bing
創作力	chuang zuo li
冷清清	leng qing qing
使不得	shi bu de
中子星	zhong zi xing
上思縣	shang si xian
黷武	du wu
黑管	hei guan
麻石	ma shi
顛狂	dian kuang
非獨	fei du
阻遏	zu e
鑽洞	zuan dong
銀圓	yin yuan
鉤蟲	gou chong
醉態	zui tai
酚酞	fen tai
邊門	bian men
越橘	yue ju
賞錢	shang qian
貢覺	gong jue
貢士	gong shi
豬玀	zhu luo
豪壯	hao zhuang
試作	shi zuo
觀覽	guan lan
西港	xi gang
螺距	luo ju
自忖	zi cun
肘腋	zhou ye
聞達	wen da
絕藝	jue yi
紅橙	hong cheng
答允	da yun
立雪	li xue
窘困	jiong kun
穀草	gu cao
程頤	cheng yi
秋葵	qiu kui
相類	xiang lei
盛筵	sheng yan
皓首	hao shou
生皮	sheng pi
特遣	te qian
熱食	re shi
淤塞	yu sai
洞子	dong zi
波旁	bo pang
水藻	shui zao
母球	mu qiu
死區	si qu
椅墊	yi dian
棕紅	zong hong
朴刀	pu dao
木犀	mu xi
斗南	dou nan
敬虔	jing qian
提多	ti duo
拜服	bai fu
拋荒	pao huang
戲票	xi piao
憑準	ping zhun
憑條	ping tiao
微茫	wei mang
專文	zhuan wen
射干	she gan
實變	shi bian
嫖資	piao zi
婁子	lou zi
好物	hao wu
套服	tao fu
奇技	qi ji
基樁	ji zhuang
圍兜	wei dou
唐堯	tang yao
名手	ming shou
叛將	pan jiang
即或	ji huo
化外	hua wai
刪剪	shan jian
冒尖	mao jian
六腳	liu jiao
公產	gong chan
全輪	quan lun
傳燈	chuan deng
偏巧	pian qiao
偏將	pian jiang
俠氣	xia qi
來文	lai wen
不謂	bu wei
丁冬	ding dong
駙	fu
郤	xi
蔀	bu
蓐	ru
紼	fu
箹	yue
瘕	jia
猙	zheng
滒	ge
愨	que
堞	die
嘂	jiao
僬	jiao
中國歷史博物館	zhong guo li shi bo wu guan
路易斯安那州	lu yi si an na zhou
生米煮成熟飯	sheng mi zhu cheng shu fan
新南威爾士州	xin nan wei er shi zhou
國際金融公司	guo ji jin rong gong si
騰格里沙漠	teng ge li sha mo
